iter	Passed	Remaining
325	14725	120787
326	14769	120727
327	14811	120662
328	14861	120652
329	14905	120602
330	14949	120542
331	14990	120464
332	15032	120399
333	15078	120358
334	15122	120299
335	15164	120230
336	15211	120199
337	15253	120130
338	15296	120068
339	15338	119999
340	15382	119951
341	15427	119903
342	15473	119865
343	15518	119814
344	15564	119780
345	15609	119729
346	15652	119669
347	15695	119610
348	15742	119583
349	15788	119543
350	15832	119490
351	15886	119507
352	15936	119502
353	15980	119450
354	16025	119400
355	16069	119345
356	16114	119297
357	16159	119257
358	16202	119192
359	16242	119111
360	16285	119053
361	16330	119004
362	16374	118948
363	16416	118885
364	16465	118864
365	16509	118816
366	16553	118762
367	16600	118732
368	16651	118725
369	16694	118669
370	16739	118617
371	16783	118567
372	16828	118520
373	16871	118460
374	16913	118396
375	16958	118346
376	17004	118313
377	17048	118255
378	17092	118203
379	17137	118157
380	17181	118108
381	17222	118033
382	17268	117995
383	17317	117973
384	17368	117967
385	17412	117918
386	17460	117894
387	17507	117857
388	17554	117827
389	17599	117780
390	17644	117735
391	17686	117667
392	17731	117622
393	17776	117577
394	17818	117511
395	17860	117447
396	17905	117402
397	17949	117350
398	17994	117302
399	18043	117281
400	18089	117244
401	18135	117204
402	18178	117143
403	18222	117091
404	18269	117059
405	18313	117005
406	18358	116962
407	18402	116908
408	18451	116887
409	18497	116852
410	18539	116787
411	18584	116736
412	18629	116692
413	18673	116642
414	18723	116624
415	18767	116575
416	18813	116532
417	18857	116483
418	18905	116455
419	18951	116419
420	19001	116399
421	19047	116360
422	19091	116309
423	19138	116276
424	19185	116241
425	19229	116188
426	19273	116139
427	19313	116063
428	19357	116012
429	19401	115958
430	19442	115887
431	19487	115840
432	19537	115823
433	19582	115778
434	19624	115714
435	19669	115672
436	19715	115628
437	19756	115561
438	19799	115503
439	19841	115441
440	19889	115410
441	19934	115366
442	19977	115311
443	20020	115255
444	20070	115234
445	20120	115222
446	20164	115170
447	20211	115130
448	20256	115085
449	20300	115034
450	20345	114990
451	20388	114933
452	20440	114927
453	20490	114906
454	20535	114863
455	20580	114820
456	20625	114769
457	20667	114708
458	20711	114659
459	20756	114611
460	20800	114558
461	20843	114502
462	20885	114443
463	20927	114377
464	20972	114333
465	21016	114280
466	21061	114237
467	21109	114205
468	21162	114202
469	21205	114149
470	21251	114109
471	21297	114067
472	21342	114020
473	21393	114010
474	21437	113956
475	21484	113921
476	21533	113897
477	21578	113853
478	21622	113801
479	21669	113762
480	21716	113730
481	21757	113662
482	21803	113622
483	21846	113563
484	21895	113542
485	21951	113552
486	21998	113515
487	22048	113495
488	22096	113463
489	22139	113409
490	22186	113371
491	22232	113332
492	22279	113293
493	22322	113240
494	22366	113188
495	22407	113121
496	22454	113087
497	22498	113034
498	22541	112978
499	22586	112931
500	22631	112884
501	22674	112831
502	22716	112768
503	22766	112745
504	22825	112769
505	22875	112749
506	22920	112704
507	22967	112667
508	23013	112626
509	23059	112583
510	23103	112535
511	23149	112491
512	23197	112459
513	23243	112417
514	23287	112367
515	23330	112312
516	23375	112265
517	23417	112203
518	23466	112176
519	23514	112143
520	23564	112124
521	23612	112089
522	23656	112041
523	23699	111985
524	23744	111940
525	23788	111888
526	23834	111846
527	23877	111788
528	23921	111738
529	23968	111701
530	24011	111647
531	24056	111598
532	24108	111587
533	24153	111538
534	24198	111496
535	24245	111458
536	24293	111426
537	24337	111372
538	24381	111321
539	24425	111270
540	24471	111228
541	24517	111187
542	24563	111148
543	24608	111098
544	24654	111057
545	24701	111019
546	24745	110969
547	24789	110919
548	24836	110882
549	24879	110824
550	24924	110778
551	24966	110722
552	25014	110687
553	25061	110650
554	25109	110619
555	25156	110580
556	25205	110551
557	25249	110500
