iter	Logloss
0	0.6756758295
1	0.6591773405
2	0.6440665018
3	0.6298648169
4	0.616949109
5	0.6049174164
6	0.5937767957
7	0.5832516631
8	0.5733970997
9	0.5645873047
10	0.5559264175
11	0.5478574758
12	0.5405418571
13	0.5334768937
14	0.5269565603
15	0.5206836532
16	0.5148408734
17	0.5099584022
18	0.5049807646
19	0.5002543788
20	0.4955804571
21	0.4914721311
22	0.4874512184
23	0.4838281535
24	0.4803935295
25	0.4771675613
26	0.4742991404
27	0.4716229391
28	0.4688539076
29	0.4665814235
30	0.4642042431
31	0.4617799489
32	0.4597152527
33	0.4578201844
34	0.4561771027
35	0.4542986305
36	0.452743213
37	0.4512214013
38	0.4497275517
39	0.4484078305
40	0.4470625348
41	0.4458219141
42	0.4446431944
43	0.4434581711
44	0.4425874042
45	0.4416165944
46	0.4407033361
47	0.4396749158
48	0.438808899
49	0.4379073136
50	0.4371375053
51	0.436365701
52	0.4355916033
53	0.4349622832
54	0.4342931537
55	0.433550505
56	0.4329073893
57	0.4322962506
58	0.4317364049
59	0.4312711643
60	0.4307217796
61	0.4301882771
62	0.4297255725
63	0.4292593101
64	0.4287488047
65	0.4283864738
66	0.4279108752
67	0.4275373495
68	0.427136962
69	0.4268107725
70	0.4264694632
71	0.4261589021
72	0.4258686777
73	0.425514041
74	0.4252775205
75	0.4249993722
76	0.4246489279
77	0.4244018802
78	0.424156287
79	0.4239705976
80	0.4237528458
81	0.4235080728
82	0.4232363651
83	0.4229598927
84	0.4226957399
85	0.4225219622
86	0.4223366905
87	0.422107104
88	0.4219016946
89	0.4217055279
90	0.4214551921
91	0.4212557454
92	0.4210429465
93	0.4208228602
94	0.4206407323
95	0.4204949744
96	0.4203432201
97	0.4201955359
98	0.4200041879
99	0.4198697294
100	0.4197276488
101	0.4195532775
102	0.4194017893
103	0.4192116363
104	0.4190741474
105	0.4189135928
106	0.4187684313
107	0.4186279554
108	0.4184883212
109	0.4183012304
110	0.418119176
111	0.4179986531
112	0.4178088543
113	0.4176614847
114	0.4175309727
115	0.4174465594
116	0.417295539
117	0.417105049
118	0.417039808
119	0.416918381
120	0.4168052734
121	0.4166857429
122	0.4165464788
123	0.4164121294
124	0.4162769275
125	0.4161272093
126	0.4159893851
127	0.4158259078
128	0.415724082
129	0.4155783583
130	0.4154446032
131	0.4153048178
132	0.4151806448
133	0.4150311937
134	0.415009071
135	0.4149355407
136	0.4148291823
137	0.4146687837
138	0.4145466934
139	0.4144371038
140	0.4143702125
141	0.4142119354
142	0.4141447501
143	0.4140141825
144	0.4138972419
145	0.4137778979
146	0.4137039792
147	0.4135953909
148	0.413497153
149	0.4133776295
150	0.4132526663
151	0.4131401135
152	0.4130464606
153	0.4129798022
154	0.4128756768
155	0.412758495
156	0.412648571
157	0.4125388176
158	0.4124611634
159	0.4123823168
160	0.4122930438
161	0.4122086043
162	0.4121274562
163	0.4120284864
164	0.4119164385
165	0.4118551315
166	0.4117310469
167	0.4116520617
168	0.4115728945
169	0.4114577594
170	0.4113704503
171	0.4112858957
172	0.4112189187
173	0.4111075745
174	0.4110286502
175	0.4109450903
176	0.410885948
177	0.4108077854
178	0.410658962
179	0.4105429787
180	0.410470292
181	0.4104001611
182	0.4102909444
183	0.4102385266
184	0.4101119074
185	0.4100415079
186	0.4099610727
187	0.409852736
188	0.4097920497
189	0.4097067104
190	0.4096304073
191	0.409536594
192	0.4093744803
193	0.4092230263
194	0.4091623689
195	0.4090847967
196	0.408986886
197	0.4089017085
198	0.4088211851
199	0.4087178447
200	0.4086551073
201	0.4085381947
202	0.4084734435
203	0.4083821272
204	0.4083257012
205	0.4082350017
206	0.4081434487
207	0.4080678149
208	0.4079728122
209	0.407880506
210	0.4077430159
211	0.4076482371
212	0.4075890787
213	0.4075029443
214	0.4073893639
215	0.4072959808
216	0.4071826273
217	0.4070932317
218	0.4070262968
219	0.406916214
220	0.4068332349
221	0.4067980893
222	0.4067325353
223	0.4066715342
224	0.4065945739
225	0.4064747344
226	0.4063535277
227	0.4062866338
228	0.4061907658
229	0.4061036431
230	0.4060074024
231	0.4058689658
232	0.4057735184
233	0.4057243823
234	0.4056517165
235	0.4055926044
236	0.4055296001
237	0.4054596936
238	0.4053783581
239	0.4053440888
240	0.4052510606
241	0.4051551475
242	0.4050904825
243	0.4050151548
244	0.4049231406
245	0.4048389735
246	0.4048028673
247	0.4047189508
248	0.4046438506
249	0.4045561127
250	0.4044975243
251	0.4043976264
252	0.4043097808
253	0.4042220292
254	0.4041624523
255	0.4040720673
256	0.4040085978
257	0.4039024183
258	0.4038610713
259	0.4037654113
260	0.4036861396
261	0.4036105018
262	0.4035520555
263	0.4034923556
264	0.4034358695
265	0.4033641348
266	0.4032747266
267	0.4032063307
268	0.4031127354
269	0.4030643261
270	0.4029821343
271	0.402894021
272	0.402822822
273	0.4027491146
274	0.4026594407
275	0.402588034
276	0.4024697071
277	0.4023963555
278	0.4023390267
279	0.4022699119
280	0.4021508405
281	0.4021024156
282	0.4020181217
283	0.4019850168
284	0.4019195276
285	0.4018364541
286	0.4017648934
287	0.401698397
288	0.4016295535
289	0.4015625461
290	0.4014947864
291	0.4013995707
292	0.4013222236
293	0.4012093767
294	0.4011213606
295	0.4010434199
296	0.4009531032
297	0.4009040338
298	0.4008113605
299	0.4007225508
300	0.4006723203
301	0.4006149788
302	0.400558208
303	0.4005131741
304	0.4004127336
305	0.4003642413
306	0.4002720634
307	0.400191829
308	0.4000874312
309	0.4000044915
310	0.399876086
311	0.3997885575
312	0.3996735325
313	0.3995999577
314	0.3995197418
315	0.399401117
316	0.3993416958
317	0.3992200059
318	0.399154643
319	0.3990968923
320	0.3990163865
321	0.3989321765
322	0.3988608113
323	0.3988059324
324	0.3987168516
325	0.3986303022
326	0.3985507949
327	0.3984675925
328	0.3983929312
329	0.3983109132
330	0.398272229
331	0.3981940639
332	0.398099815
333	0.3980148869
334	0.3979620332
335	0.3978797206
336	0.3977930149
337	0.3977296323
338	0.3976596933
339	0.3975452592
340	0.3974702933
341	0.3973660129
342	0.3972880879
343	0.3971816673
344	0.3970945896
345	0.3970210832
346	0.396941019
347	0.396851125
348	0.3967810906
349	0.3966780417
350	0.3966134654
351	0.3965460442
352	0.3964670885
353	0.3963756513
354	0.3962758506
355	0.396190839
356	0.396098298
357	0.3960235514
358	0.3959161203
359	0.3958124603
360	0.3957408659
361	0.3956504079
362	0.3955673955
363	0.3954867415
364	0.3953895186
365	0.3953146824
366	0.3952118347
367	0.3951577258
368	0.3950877128
369	0.3950574704
370	0.3949427306
371	0.3948416776
372	0.3947377936
373	0.3946642125
374	0.3946141288
375	0.3945501127
376	0.3944634506
377	0.3944015511
378	0.3943198329
379	0.3942461819
380	0.394161714
381	0.394072734
382	0.3939502206
383	0.393852419
384	0.3937710736
385	0.39371632
386	0.3936485035
387	0.3935823665
388	0.3935310481
389	0.3934754971
390	0.3934356864
391	0.3933466894
392	0.3932344618
393	0.3931879655
394	0.3931236948
395	0.3930043548
396	0.392918471
397	0.3928668432
398	0.3928087391
399	0.3927093802
400	0.3926075409
401	0.3925547181
402	0.3924644347
403	0.3923777646
404	0.3922983716
405	0.3921937666
406	0.3920927797
407	0.3919998219
408	0.3919271673
409	0.3918343503
410	0.3917493528
411	0.3916460816
412	0.3915966556
413	0.3915443559
414	0.3914487674
415	0.3913593172
416	0.3912649267
417	0.3912060155
418	0.3911489535
419	0.3910680171
420	0.3909814521
421	0.3908762541
422	0.3907609989
423	0.3906741332
424	0.3905900391
425	0.3904659495
426	0.3903879695
427	0.3903194498
428	0.3902424965
429	0.3901697281
430	0.3901061201
431	0.390005965
432	0.3899328953
433	0.3898704683
434	0.3897829624
435	0.3897331009
436	0.3896494256
437	0.38955751
438	0.3894654769
439	0.3893717755
440	0.3892865875
441	0.3892282367
442	0.3891339037
443	0.3890390864
444	0.3889354986
445	0.3888692655
446	0.388790143
447	0.3886910722
448	0.3886344686
449	0.3885292981
450	0.3884330247
451	0.3883694288
452	0.3882979297
453	0.3882300835
454	0.3881790209
455	0.3880719996
456	0.3880078294
457	0.387940793
458	0.3878798818
459	0.3877656116
460	0.3876554178
461	0.387571683
462	0.3874774025
463	0.3873707037
464	0.3872863945
465	0.3872312384
466	0.3871393984
467	0.387024979
468	0.3869248335
469	0.3868098343
470	0.3867207249
471	0.3866050707
472	0.386493147
473	0.3864539195
474	0.3863969474
475	0.3863256479
476	0.3862466968
477	0.3861815828
478	0.3860931256
479	0.3860541916
480	0.3859926766
481	0.3858773563
482	0.3858104192
483	0.3857108632
484	0.3856111576
485	0.3855112979
486	0.3854466246
487	0.3853621762
488	0.3852626668
489	0.3851847252
490	0.385096699
491	0.3850342495
492	0.3849354162
493	0.3848376758
494	0.3847815252
495	0.3846628531
496	0.3845620561
497	0.3844845191
498	0.3844282823
499	0.3843580966
500	0.3842954658
501	0.3842441634
502	0.3841294689
503	0.3840255631
504	0.383947707
505	0.383861613
506	0.3838122961
507	0.3837415505
508	0.3836793846
509	0.3836059141
510	0.3835181436
511	0.3834526858
512	0.3833981656
513	0.3833067525
514	0.3832004619
515	0.3831323813
516	0.3830125077
517	0.3829390366
518	0.3828457651
519	0.3827665833
520	0.3826578493
521	0.3825671569
522	0.3825081029
523	0.3824208378
524	0.3823247747
525	0.3822564896
526	0.3821881621
527	0.3820842086
528	0.3819976902
529	0.3819237741
530	0.3818144748
531	0.381737657
532	0.3816541402
533	0.3815481172
534	0.3814662153
535	0.3813732783
536	0.3813089776
537	0.3812078367
538	0.3810940979
539	0.3810143156
540	0.3809129489
541	0.3808624932
542	0.3807998745
543	0.3806914509
544	0.3806311254
545	0.3805396083
546	0.3804601381
547	0.3803728557
548	0.3802909562
549	0.3801937167
550	0.3801373798
551	0.3800761988
552	0.3799877732
553	0.3798915617
554	0.3797631649
555	0.3796729121
556	0.3795977511
557	0.3795062452
558	0.3793860346
559	0.3793094044
560	0.3792309731
561	0.3791599855
562	0.3790899955
563	0.3790275273
564	0.3789432281
565	0.3788705911
566	0.3787481781
567	0.3786172347
568	0.3785213828
569	0.3784127852
570	0.3783400741
571	0.3782630348
572	0.3782058251
573	0.3781215105
574	0.3780528911
575	0.3779648478
576	0.3778967124
577	0.3778403544
578	0.3777408709
579	0.3776632692
580	0.3775699522
581	0.377489757
582	0.3774358283
583	0.3773581642
584	0.3772686704
585	0.3772062047
586	0.3771209153
587	0.3770046799
588	0.376951903
589	0.376856504
590	0.3767936805
591	0.3767430286
592	0.3766843131
593	0.3765770568
594	0.376515969
595	0.3764330442
596	0.3763316125
597	0.3761975843
598	0.3761301071
599	0.376047742
600	0.3760461249
601	0.3759462854
602	0.3758609692
603	0.3758092106
604	0.3757037847
605	0.3756334066
606	0.3755355799
607	0.3754610745
608	0.375399669
609	0.3753550668
610	0.3752814677
611	0.3752118973
612	0.3752102308
613	0.3751373997
614	0.3750343463
615	0.3749703798
616	0.374888617
617	0.3748021523
618	0.3747628245
619	0.3746856764
620	0.374595742
621	0.3745305536
622	0.3744431583
623	0.3743182763
624	0.3742471238
625	0.3741727239
626	0.3741112884
627	0.3740667494
628	0.3739959145
629	0.3739388591
630	0.3738374887
631	0.3737822555
632	0.3736772394
633	0.3735986246
634	0.3735183063
635	0.3734514634
636	0.3733588023
637	0.3732893345
638	0.3732263699
639	0.3731608034
640	0.3730975903
641	0.3730252805
642	0.3729380524
643	0.3728746308
644	0.3727703442
645	0.372678231
646	0.3726333063
647	0.3725807374
648	0.3725032886
649	0.3724363269
650	0.3723538798
651	0.3722973069
652	0.372243686
653	0.3721656256
654	0.3720951667
655	0.3720049795
656	0.3719203872
657	0.3718874781
658	0.3718394306
659	0.3717658433
660	0.3716991402
661	0.3716230444
662	0.3715509294
663	0.371471043
664	0.3714089238
665	0.3713304806
666	0.3712238709
667	0.3711644436
668	0.3710724044
669	0.3710080964
670	0.3709179788
671	0.3708393719
672	0.3707876529
673	0.3707082897
674	0.3706155013
675	0.3706132389
676	0.3705603233
677	0.3705098071
678	0.3704135089
679	0.370322001
680	0.3702749612
681	0.3702238866
682	0.3701674496
683	0.3700805511
684	0.3700161201
685	0.3699246848
686	0.3699231029
687	0.3698508617
688	0.3697965111
689	0.3697029269
690	0.3696157268
691	0.3695381625
692	0.3694552063
693	0.3693780057
694	0.369376507
695	0.3693034232
696	0.3692197173
697	0.3691429064
698	0.3690703286
699	0.3689698664
700	0.3689286205
701	0.3688812215
702	0.3688798657
703	0.3687975496
704	0.3687008062
705	0.3686109536
706	0.3685501072
707	0.3684986628
708	0.3684179719
709	0.3683746474
710	0.3683352173
711	0.3682631924
712	0.3681738242
713	0.3681118344
714	0.3680547656
715	0.3680078787
716	0.3679405293
717	0.3678601342
718	0.3677892075
719	0.3677467308
720	0.3676722605
721	0.3676141431
722	0.3675118996
723	0.3674420949
724	0.3673769789
725	0.3672631145
726	0.3672113859
727	0.3671222979
728	0.3671134749
729	0.3670532437
730	0.3669768563
731	0.366931641
732	0.3668662756
733	0.3667862735
734	0.3666801033
735	0.3666092654
736	0.3665222959
737	0.3664496598
738	0.3663528119
739	0.3662899086
740	0.3662378797
741	0.3662072225
742	0.3661449865
743	0.3660729182
744	0.3660027213
745	0.3658957932
746	0.3658191941
747	0.3657198069
748	0.3656549686
749	0.3655898445
750	0.3655149867
751	0.3654457017
752	0.3653807226
753	0.3652945522
754	0.3651946733
755	0.3651471468
756	0.3650938247
757	0.3650194759
758	0.3649438308
759	0.3648935905
760	0.3648054746
761	0.3647402491
762	0.3646953979
763	0.3646554002
764	0.3646055751
765	0.3645523235
766	0.3644799755
767	0.3643937282
768	0.3643365344
